feature_id,B73_Control_Epibiota_1,B73_Control_Epibiota_2,B73_Control_Epibiota_3,B73_Control_Epibiota_4,B73_Mix_Epibiota_1,B73_Mix_Epibiota_2,B73_Mix_Epibiota_3,B73_K49_Epibiota_1,B73_K49_Epibiota_2,B73_K49_Epibiota_3,B73_Tox4_Epibiota_1,B73_Tox4_Epibiota_2,B73_Tox4_Epibiota_3,B73_Control_Endobiota_1,B73_Control_Endobiota_2,B73_Control_Endobiota_3,B73_Mix_Endobiota_1,B73_Mix_Endobiota_2,B73_Mix_Endobiota_3,B73_K49_Endobiota_1,B73_K49_Endobiota_2,B73_K49_Endobiota_3,B73_Tox4_Endobiota_1,B73_Tox4_Endobiota_2,B73_Tox4_Endobiota_3,CML322_Control_Epibiota_1,CML322_Control_Epibiota_2,CML322_Control_Epibiota_3,CML322_Control_Epibiota_4,CML322_Mix_Epibiota_1,CML322_Mix_Epibiota_2,CML322_Mix_Epibiota_3,CML322_K49_Epibiota_1,CML322_K49_Epibiota_2,CML322_K49_Epibiota_3,CML322_Tox4_Epibiota_1,CML322_Tox4_Epibiota_2,CML322_Tox4_Epibiota_3,CML322_Control_Endobiota_1,CML322_Control_Endobiota_2,CML322_Control_Endobiota_3,CML322_Mix_Endobiota_1,CML322_Mix_Endobiota_2,CML322_Mix_Endobiota_3,CML322_K49_Endobiota_1,CML322_K49_Endobiota_2,CML322_K49_Endobiota_3,CML322_Tox4_Endobiota_1,CML322_Tox4_Endobiota_2,CML322_Tox4_Endobiota_3,Kingdom,Phylum,Class,Order,Family,Genus,Species
72e422bef9ac69df47b5db31773dd480,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_bifurcatum
d5810a0b68767c0e57af7603acc932fa,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_glaucum
4d2d667506dc410a0624ce289ff3124b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_kiliense
e4ab8ca3f452a3d4679453e3e7269189,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_kiliense
74497df03ec18cc63c39ad2a4b457464,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_kiliense
fd6e051205bc1fe27861fff57664d99e,0,355,28,362,0,0,0,8,0,0,0,32,145,0,0,6,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_kiliense
0dff34adf3c8224aaf505d2573f73f97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_zeae
5177a31bb476b972e6862b612d1183ab,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_zeae
9b60dc77db25e91ca1639d99ff994288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_strictum
ca08cc62fd4e9d11e7fd9d301899da92,0,0,0,0,0,0,0,0,31,0,0,16,0,0,0,0,0,0,0,0,5,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_strictum
