SampleID	CornVariety	TissueType	Timepoint	FungalStrain	TissueExtraction	Age	Batch
B59	B73	Ovule	2	Tox4	Endobiota	Mature	2
B60	B73	Ovule	2	Tox4	Endobiota	Mature	2
B61	B73	Husk	0	Control	Epibiota	Young	2
B62	B73	Husk	0	Control	Epibiota	Young	2
B63	B73	Husk	0	Control	Epibiota	Young	2
B70	B73	Husk	0	Control	Endobiota	Young	2
B72	B73	Husk	0	Control	Endobiota	Young	2
B73	B73	Silk	0	Control	Endobiota	Young	2
B74	B73	Silk	0	Control	Endobiota	Young	2
B75	B73	Silk	0	Control	Endobiota	Young	2
B77	B73	Ovule	0	Control	Endobiota	Young	2
B78	B73	Ovule	0	Control	Endobiota	Young	2
B79	B73	Husk	0	Control	Epibiota	Young	2
B80	B73	Husk	0	Control	Epibiota	Young	2
B81	B73	Husk	0	Control	Epibiota	Young	2
B88	B73	Husk	0	Control	Endobiota	Young	2
B89	B73	Husk	0	Control	Endobiota	Young	2
B90	B73	Husk	0	Control	Endobiota	Young	2
B91	B73	Silk	0	Control	Endobiota	Young	2
B92	B73	Silk	0	Control	Endobiota	Young	2
B93	B73	Silk	0	Control	Endobiota	Young	2
B97	B73	Husk	2	Control	Epibiota	Mature	2
B98	B73	Silk	0	Control	Epibiota	Young	2
B99	B73	Silk	2	Control	Epibiota	Mature	2
C100	CML322	Ovule	2	Control	Epibiota	Mature	2
C37	CML322	Ovule	2	Control	Epibiota	Mature	2
C38	CML322	Ovule	2	Control	Epibiota	Mature	2
C39	CML322	Ovule	2	Control	Epibiota	Mature	2
C40	CML322	Ovule	2	Mix	Epibiota	Mature	2
C41	CML322	Ovule	2	Mix	Epibiota	Mature	2
C42	CML322	Ovule	2	Mix	Epibiota	Mature	2
C43	CML322	Ovule	2	K49	Epibiota	Mature	2
C44	CML322	Ovule	2	K49	Epibiota	Mature	2
C45	CML322	Ovule	2	K49	Epibiota	Mature	2
C46	CML322	Ovule	2	Tox4	Epibiota	Mature	2
C47	CML322	Ovule	2	Tox4	Epibiota	Mature	2
C48	CML322	Ovule	2	Tox4	Epibiota	Mature	2
